freq,velocity,force
338.5,0.000232795,-0.00319074
339.0,0.00023548,-0.00318663
339.5,0.000233349,-0.00318983
340.0,0.000240692,-0.00320627
340.5,0.000237174,-0.00320948
341.0,0.000242243,-0.003243
341.5,0.000234075,-0.00324138
342.0,0.000218435,-0.00324604
342.5,0.000209609,-0.00325953
343.0,0.000203931,-0.00325156
343.5,0.000196352,-0.00326952
344.0,0.000199076,-0.00326272
344.5,0.000202563,-0.00326324
345.0,0.000218444,-0.00326164
345.5,0.000208339,-0.00327542
346.0,0.000194866,-0.00328123
346.5,0.000196245,-0.00328886
347.0,0.000191333,-0.00328454
347.5,0.000202678,-0.00329738
348.0,0.000180286,-0.00331676
348.5,0.000187584,-0.00332254
349.0,0.000209287,-0.00332101
349.5,0.000195645,-0.00332021
350.0,0.000180414,-0.00332747
350.5,0.000186264,-0.00333423
351.0,0.00019341,-0.00334936
351.5,0.000180192,-0.00337401
352.0,0.00018474,-0.00335837
352.5,0.000177869,-0.00334132
353.0,0.0001829,-0.00334017
353.5,0.000177469,-0.00336679
354.0,0.000167501,-0.00335201
354.5,0.000145461,-0.00336003
355.0,0.00016494,-0.00337732
355.5,0.000166788,-0.00338441
356.0,0.000152223,-0.00338321
356.5,0.000151461,-0.00339181
357.0,0.000156486,-0.00338406
357.5,0.000164895,-0.00338951
358.0,0.00014052,-0.00341373
358.5,0.000139012,-0.00339679
359.0,0.000136018,-0.0033837
359.5,0.000146639,-0.00341689
360.0,0.000146757,-0.00342292
360.5,0.000141183,-0.00343377
361.0,0.000135513,-0.00343292
361.5,0.000138538,-0.00344669
362.0,0.00012716,-0.00344928
362.5,0.000115594,-0.00343353
363.0,0.00012245,-0.00344385
363.5,0.000129385,-0.00345363
364.0,0.000129977,-0.00345197
364.5,0.000140937,-0.00345234
365.0,0.000136406,-0.00345756
365.5,0.000129217,-0.00345745
366.0,0.00011186,-0.00345866
366.5,0.000129315,-0.00347628
367.0,0.000134609,-0.00347898
367.5,0.000129373,-0.00348733
368.0,0.000127095,-0.00349985
368.5,0.000128081,-0.00349505
369.0,0.000114398,-0.00348771
369.5,0.000119925,-0.00348884
370.0,0.000114912,-0.00349926
370.5,0.000115886,-0.00352306
371.0,0.000104791,-0.00353106
