freq,Coherence
376.5,0.999788
377.0,0.999763
377.5,0.999711
378.0,0.999742
378.5,0.999734
379.0,0.999713
379.5,0.999713
380.0,0.999596
380.5,0.999757
381.0,0.999851
381.5,0.999879
382.0,0.999828
382.5,0.99967
383.0,0.999674
383.5,0.999696
384.0,0.999791
384.5,0.999706
385.0,0.999593
385.5,0.999748
386.0,0.99982
386.5,0.999784
387.0,0.99975
387.5,0.999521
388.0,0.999594
388.5,0.999648
389.0,0.999665
389.5,0.999662
390.0,0.99975
390.5,0.999647
391.0,0.999508
391.5,0.999577
392.0,0.999567
392.5,0.999758
393.0,0.999699
393.5,0.999514
394.0,0.999456
394.5,0.999674
395.0,0.999724
395.5,0.999773
396.0,0.99971
396.5,0.999315
397.0,0.99927
397.5,0.999521
398.0,0.999338
398.5,0.999392
399.0,0.999559
399.5,0.99951
400.0,0.999256
400.5,0.999364
401.0,0.999384
401.5,0.999478
402.0,0.999667
402.5,0.999524
403.0,0.999355
403.5,0.999473
404.0,0.999436
404.5,0.999527
405.0,0.999404
405.5,0.999226
406.0,0.999352
406.5,0.999325
407.0,0.999364
407.5,0.999652
408.0,0.99959
408.5,0.999596
409.0,0.999596
409.5,0.999257
410.0,0.999129
410.5,0.999177
411.0,0.998973
411.5,0.998895
412.0,0.999215
412.5,0.998809
413.0,0.998397
413.5,0.998755
414.0,0.999272
414.5,0.99906
415.0,0.998923
415.5,0.998703
416.0,0.997426
416.5,0.998685
417.0,0.998801
417.5,0.998191
418.0,0.99846
418.5,0.997591
419.0,0.99759
419.5,0.99797
420.0,0.997619
420.5,0.99477
421.0,0.995793
421.5,0.996306
422.0,0.994911
422.5,0.995208
423.0,0.992343
423.5,0.987662
424.0,0.991748
424.5,0.989695
425.0,0.990426
425.5,0.991451
426.0,0.982619
426.5,0.986071
427.0,0.98903
427.5,0.988427
428.0,0.988047
428.5,0.98956
429.0,0.98922
429.5,0.981235
430.0,0.990802
430.5,0.994295
431.0,0.994609
431.5,0.996122
432.0,0.997127
432.5,0.996254
433.0,0.996352
433.5,0.997707
434.0,0.99802
434.5,0.997824
435.0,0.996958
435.5,0.995475
436.0,0.996751
436.5,0.998165
437.0,0.997804
437.5,0.997745
438.0,0.998014
438.5,0.998839
439.0,0.998661
439.5,0.998904
440.0,0.999068
440.5,0.999365
441.0,0.999258
441.5,0.999217
442.0,0.999337
442.5,0.999277
443.0,0.999369
443.5,0.999239
444.0,0.999359
444.5,0.999311
445.0,0.999388
445.5,0.999522
446.0,0.999635
446.5,0.99977
447.0,0.999694
447.5,0.999611
448.0,0.99966
448.5,0.999677
449.0,0.999666
449.5,0.999688
450.0,0.999599
450.5,0.999649
451.0,0.999691
451.5,0.99963
452.0,0.999607
452.5,0.999615
453.0,0.999723
453.5,0.999763
454.0,0.999722
454.5,0.999673
455.0,0.999591
455.5,0.999558
456.0,0.999661
456.5,0.999674
457.0,0.999721
457.5,0.999663
458.0,0.999695
458.5,0.999732
459.0,0.999786
459.5,0.999747
460.0,0.999626
460.5,0.999728
461.0,0.999782
461.5,0.999779
462.0,0.99966
462.5,0.999729
463.0,0.999772
463.5,0.999845
464.0,0.999828
464.5,0.999592
465.0,0.999691
465.5,0.999816
466.0,0.999725
466.5,0.999799
467.0,0.999822
467.5,0.999627
468.0,0.999588
468.5,0.999727
469.0,0.999763
469.5,0.999845
470.0,0.999843
470.5,0.999803
471.0,0.999787
471.5,0.999733
472.0,0.999737
472.5,0.99988
473.0,0.999919
473.5,0.999868
474.0,0.999872
474.5,0.999913
475.0,0.999926
475.5,0.999873
476.0,0.999882
476.5,0.999881
477.0,0.999903
477.5,0.999941
478.0,0.999904
478.5,0.999882
479.0,0.999861
479.5,0.999903
480.0,0.999937
480.5,0.999896
481.0,0.999872
481.5,0.999933
482.0,0.999949
482.5,0.999939
483.0,0.99994
483.5,0.999939
484.0,0.999928
484.5,0.999931
485.0,0.999894
485.5,0.999911
486.0,0.999931
486.5,0.99993
487.0,0.999928
487.5,0.999874
488.0,0.999908
488.5,0.999952
489.0,0.999929
489.5,0.999941
490.0,0.999928
490.5,0.999944
491.0,0.999916
491.5,0.99994
492.0,0.999949
492.5,0.999953
493.0,0.999918
493.5,0.999913
494.0,0.999949
494.5,0.99995
495.0,0.999958
495.5,0.999947
496.0,0.999933
496.5,0.99995
497.0,0.999945
497.5,0.999907
498.0,0.999917
498.5,0.999931
499.0,0.999965
499.5,0.99994
500.0,0.999954
500.5,0.999954
501.0,0.99994
501.5,0.999959
502.0,0.999961
502.5,0.999959
503.0,0.999958
503.5,0.999957
504.0,0.999949
504.5,0.999948
505.0,0.999958
505.5,0.999961
506.0,0.999955
506.5,0.999927
507.0,0.999934
507.5,0.999942
508.0,0.999916
508.5,0.999932
509.0,0.999958
509.5,0.99996
510.0,0.999965
510.5,0.999958
511.0,0.999966
511.5,0.999958
512.0,0.999952
512.5,0.999928
513.0,0.999955
513.5,0.999973
514.0,0.999969
514.5,0.999956
515.0,0.999946
515.5,0.999936
516.0,0.999941
516.5,0.999957
517.0,0.999945
517.5,0.999947
518.0,0.999963
518.5,0.999926
519.0,0.999943
519.5,0.999959
520.0,0.99995
520.5,0.999937
521.0,0.999941
521.5,0.999949
522.0,0.999951
522.5,0.999938
523.0,0.999959
523.5,0.999953
524.0,0.999952
524.5,0.999958
525.0,0.999941
525.5,0.999951
526.0,0.999943
526.5,0.999961
527.0,0.99996
527.5,0.999953
528.0,0.99996
528.5,0.999959
529.0,0.999948
529.5,0.999924
530.0,0.999923
530.5,0.999935
531.0,0.99993
531.5,0.999939
532.0,0.999941
532.5,0.999941
533.0,0.999958
533.5,0.999963
534.0,0.999911
534.5,0.999927
535.0,0.999937
535.5,0.999904
536.0,0.999929
536.5,0.999934
537.0,0.999945
537.5,0.999952
538.0,0.999934
538.5,0.999924
539.0,0.999922
539.5,0.999956
540.0,0.999949
540.5,0.999959
541.0,0.999934
541.5,0.999948
542.0,0.99997
542.5,0.999942
543.0,0.999872
543.5,0.999929
544.0,0.999858
544.5,0.999934
545.0,0.999933
545.5,0.999907
546.0,0.999944
546.5,0.999925
547.0,0.999893
547.5,0.99993
548.0,0.999907
548.5,0.999899
549.0,0.999885
549.5,0.999895
550.0,0.999892
550.5,0.99991
551.0,0.999947
551.5,0.999929
552.0,0.999919
552.5,0.999912
553.0,0.999906
553.5,0.999889
554.0,0.999903
554.5,0.999922
555.0,0.999935
555.5,0.999917
556.0,0.999936
556.5,0.99993
557.0,0.999916
557.5,0.999958
558.0,0.999945
558.5,0.999918
559.0,0.999916
559.5,0.999914
560.0,0.999944
560.5,0.999892
561.0,0.999951
561.5,0.999959
562.0,0.999963
562.5,0.999945
563.0,0.999917
563.5,0.999933
564.0,0.999944
564.5,0.999953
565.0,0.999947
565.5,0.999959
566.0,0.999951
566.5,0.999951
567.0,0.999952
567.5,0.99994
568.0,0.999969
568.5,0.999951
569.0,0.999952
569.5,0.99995
570.0,0.999956
